"filename", "language", "YAML", "JavaScript", "Log", "Markdown", "JSON", "comment", "blank", "total"
"c:\Users\oscar\Documents\react\projects\nerver-alone-api\server\README.md", "Markdown", 0, 0, 0, 83, 0, 0, 34, 117
"c:\Users\oscar\Documents\react\projects\nerver-alone-api\server\config\postgres.js", "JavaScript", 0, 25, 0, 0, 0, 0, 9, 34
"c:\Users\oscar\Documents\react\projects\nerver-alone-api\server\config\swagger.js", "JavaScript", 0, 49, 0, 0, 0, 0, 3, 52
"c:\Users\oscar\Documents\react\projects\nerver-alone-api\server\controllers\AuthController.js", "JavaScript", 0, 72, 0, 0, 0, 0, 19, 91
"c:\Users\oscar\Documents\react\projects\nerver-alone-api\server\controllers\CommunityController.js", "JavaScript", 0, 110, 0, 0, 0, 0, 11, 121
"c:\Users\oscar\Documents\react\projects\nerver-alone-api\server\controllers\ContactController.js", "JavaScript", 0, 53, 0, 0, 0, 0, 12, 65
"c:\Users\oscar\Documents\react\projects\nerver-alone-api\server\controllers\GroupController.js", "JavaScript", 0, 45, 0, 0, 0, 0, 10, 55
"c:\Users\oscar\Documents\react\projects\nerver-alone-api\server\controllers\ReportController.js", "JavaScript", 0, 34, 0, 0, 0, 0, 8, 42
"c:\Users\oscar\Documents\react\projects\nerver-alone-api\server\controllers\reportCommentController.js", "JavaScript", 0, 61, 0, 0, 0, 0, 12, 73
"c:\Users\oscar\Documents\react\projects\nerver-alone-api\server\controllers\userController.js", "JavaScript", 0, 10, 0, 0, 0, 0, 2, 12
"c:\Users\oscar\Documents\react\projects\nerver-alone-api\server\docs\authDocs.yaml", "YAML", 136, 0, 0, 0, 0, 0, 5, 141
"c:\Users\oscar\Documents\react\projects\nerver-alone-api\server\docs\commentDocs.yaml", "YAML", 142, 0, 0, 0, 0, 0, 5, 147
"c:\Users\oscar\Documents\react\projects\nerver-alone-api\server\docs\communityDocs.yaml", "YAML", 275, 0, 0, 0, 0, 0, 10, 285
"c:\Users\oscar\Documents\react\projects\nerver-alone-api\server\docs\contactDocs.yaml", "YAML", 110, 0, 0, 0, 0, 0, 5, 115
"c:\Users\oscar\Documents\react\projects\nerver-alone-api\server\docs\groupDocs.yaml", "YAML", 98, 0, 0, 0, 0, 0, 6, 104
"c:\Users\oscar\Documents\react\projects\nerver-alone-api\server\docs\mainDocs.yaml", "YAML", 27, 0, 0, 0, 0, 0, 3, 30
"c:\Users\oscar\Documents\react\projects\nerver-alone-api\server\docs\reportDocs.yaml", "YAML", 149, 0, 0, 0, 0, 0, 7, 156
"c:\Users\oscar\Documents\react\projects\nerver-alone-api\server\docs\usersDocs.yaml", "YAML", 30, 0, 0, 0, 0, 0, 2, 32
"c:\Users\oscar\Documents\react\projects\nerver-alone-api\server\error.log", "Log", 0, 0, 1525, 0, 0, 0, 1, 1526
"c:\Users\oscar\Documents\react\projects\nerver-alone-api\server\middleware\auth.js", "JavaScript", 0, 39, 0, 0, 0, 0, 14, 53
"c:\Users\oscar\Documents\react\projects\nerver-alone-api\server\middleware\errorHandler.js", "JavaScript", 0, 34, 0, 0, 0, 0, 7, 41
"c:\Users\oscar\Documents\react\projects\nerver-alone-api\server\middleware\notFound.js", "JavaScript", 0, 5, 0, 0, 0, 0, 3, 8
"c:\Users\oscar\Documents\react\projects\nerver-alone-api\server\package-lock.json", "JSON", 0, 0, 0, 0, 2167, 0, 1, 2168
"c:\Users\oscar\Documents\react\projects\nerver-alone-api\server\package.json", "JSON", 0, 0, 0, 0, 38, 0, 1, 39
"c:\Users\oscar\Documents\react\projects\nerver-alone-api\server\routes\AdminRouter.js", "JavaScript", 0, 10, 0, 0, 0, 0, 11, 21
"c:\Users\oscar\Documents\react\projects\nerver-alone-api\server\routes\ApiRouter.js", "JavaScript", 0, 12, 0, 0, 0, 0, 7, 19
